mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
1,6959475.2512626816,41475.2512626586,5.0000000000,0.9889369642,0.9895500000,0.0000315086,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0449169462,0.7958550233,0.1592280305,0.9999999868,0.9999999868,1
1,6959445.4406803790,41456.9412931386,10.0000000000,0.9896572240,0.9901700000,0.0000100503,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0496372554,0.8998095103,0.0505532343,0.9999999763,0.9999999763,0
1,6959416.2878583502,41433.3909414677,15.0000000000,0.9896464137,0.9899700000,0.0000094134,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0498955126,0.9004635806,0.0496409067,0.9999999763,0.9999999763,0
1,6959392.1007031677,41403.1459790934,20.0000000000,0.9875188326,0.9903200000,0.0000360338,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0444910907,0.7783546403,0.1771542690,0.9999999797,0.9999999797,0
1,6959367.4939595265,41380.5447476624,25.0000000000,0.9882194788,0.9902100000,0.0000368364,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0442115246,0.7803133604,0.1754751151,0.9999999949,0.9999999949,0
1,6959345.5355136869,41349.1458611585,30.0000000000,0.9891581561,0.9900900000,0.0000332887,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0448462982,0.7971884216,0.1579652802,0.9999999956,0.9999999956,0
1,6959320.1824418018,41323.0188569531,35.0000000000,0.9901180103,0.9890100000,0.0000447705,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0426891824,0.7420688981,0.2152419195,0.9999999887,0.9999999887,0
1,6959298.5291111860,41300.0493451252,40.0000000000,0.9872739597,0.9899500000,0.0000516457,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0392399608,0.6976663126,0.2630937266,0.9999999446,0.9999999446,0
1,6959271.6500081699,41275.8518041855,45.0000000000,0.9862712901,0.9895900000,0.0000512833,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0394730812,0.6934334616,0.2670934572,0.9999999628,0.9999999628,0
1,6959247.5855666632,41253.5247358944,50.0000000000,0.9881965359,0.9903100000,0.0000504906,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0368856713,0.6980205165,0.2650938122,0.9999999874,0.9999999874,0
1,6959221.6698125890,41229.2895903210,55.0000000000,0.9866514944,0.9901400000,0.0000545056,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0382027727,0.6969611186,0.2648361086,1.0000000000,1.0000000000,0
1,6959197.4726516865,41204.1974820504,60.0000000000,0.9894928873,0.9901000000,0.0000419757,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0401579633,0.7421179667,0.2177240700,0.9999999813,0.9999999813,0
1,6959172.2186761471,41181.2212115076,65.0000000000,0.9896085551,0.9902300000,0.0000515760,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0358557032,0.6952920616,0.2688522351,0.9999999784,0.9999999784,0
1,6959151.0708504589,41157.1348841482,70.0000000000,0.9906271539,0.9898300000,0.0000518344,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0385741446,0.6924607658,0.2689650896,0.9999999694,0.9999999694,0
1,6959125.2362070652,41131.7077514659,75.0000000000,0.9886432464,0.9903800000,0.0001116347,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0227283967,0.4505156975,0.5267559059,0.9999999695,0.9999999695,0
1,6959103.2246056888,41104.5237002333,80.0000000000,0.9873106810,0.9900600000,0.0000703981,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0348767979,0.6097272953,0.3553959068,0.9999999799,0.9999999799,0
1,6959079.2408740092,41076.5841585759,85.0000000000,0.9890139518,0.9905200000,0.0000463929,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0379944633,0.7295994357,0.2324061010,0.9999999543,0.9999999543,0
1,6959056.6146799251,41052.9795467657,90.0000000000,0.9865977235,0.9902600000,0.0000734137,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0335284267,0.6066321484,0.3598394248,0.9999999898,0.9999999898,0
1,6959033.2758156136,41027.4145977795,95.0000000000,0.9873430257,0.9903900000,0.0000742809,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0348147115,0.6040151927,0.3611700957,0.9999999694,0.9999999694,0
1,6959005.4377777623,41005.1870641118,100.0000000000,0.9843272378,0.9898100000,0.0001031913,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0255519524,0.4520681227,0.5223799250,0.9999999242,0.9999999242,0
1,6958985.9640775910,40979.9573313111,105.0000000000,0.9871057875,0.9901900000,0.0000749244,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0326217468,0.6038244369,0.3635538163,0.9999999396,0.9999999396,0
1,6958957.7004851680,40956.0473069550,110.0000000000,0.9870215308,0.9899100000,0.0001650057,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0089851318,0.1749992798,0.8160155885,0.9999999527,0.9999999527,0
1,6958932.9099024544,40932.1642148663,115.0000000000,0.9870857138,0.9897700000,0.0001644082,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0100811047,0.1737609356,0.8161579597,0.9999999047,0.9999999047,0
