mmsi,time,traj_id,x,y,prob
1,5.0000000000,0,6959475.2512626816,41475.2512626586,1.0000000000
1,5.0000000000,0,6959470.3015152132,41470.3015151903,1.0000000000
1,5.0000000000,0,6959465.3517677449,41465.3517677220,1.0000000000
1,5.0000000000,0,6959460.4020202765,41460.4020202537,1.0000000000
1,5.0000000000,0,6959455.4522728082,41455.4522727854,1.0000000000
1,5.0000000000,0,6959450.5025253398,41450.5025253171,1.0000000000
1,5.0000000000,0,6959445.5527778715,41445.5527778488,1.0000000000
1,5.0000000000,0,6959440.6030304031,41440.6030303805,1.0000000000
1,5.0000000000,0,6959435.6532829348,41435.6532829121,1.0000000000
1,5.0000000000,0,6959430.7035354665,41430.7035354438,1.0000000000
1,5.0000000000,0,6959425.7537879981,41425.7537879755,1.0000000000
1,5.0000000000,0,6959420.8040405298,41420.8040405072,1.0000000000
1,5.0000000000,0,6959415.8542930614,41415.8542930389,1.0000000000
1,5.0000000000,0,6959410.9045455931,41410.9045455705,1.0000000000
1,5.0000000000,0,6959405.9547981247,41405.9547981022,1.0000000000
1,5.0000000000,0,6959401.0050506564,41401.0050506339,1.0000000000
1,5.0000000000,0,6959396.0553031880,41396.0553031656,1.0000000000
1,5.0000000000,0,6959391.1055557197,41391.1055556972,1.0000000000
1,5.0000000000,0,6959386.1558082514,41386.1558082289,1.0000000000
1,5.0000000000,0,6959381.2060607830,41381.2060607606,1.0000000000
1,5.0000000000,0,6959376.2563133147,41376.2563132922,1.0000000000
1,5.0000000000,0,6959371.3065658463,41371.3065658239,1.0000000000
1,5.0000000000,0,6959366.3568183780,41366.3568183556,1.0000000000
1,5.0000000000,0,6959361.4070709096,41361.4070708873,1.0000000000
1,5.0000000000,0,6959356.4573234413,41356.4573234189,1.0000000000
1,5.0000000000,0,6959351.5075759729,41351.5075759506,1.0000000000
1,5.0000000000,0,6959346.5578285046,41346.5578284822,1.0000000000
1,5.0000000000,0,6959341.6080810362,41341.6080810139,1.0000000000
1,5.0000000000,0,6959336.6583335679,41336.6583335456,1.0000000000
1,5.0000000000,0,6959331.7085860996,41331.7085860772,1.0000000000
1,5.0000000000,0,6959326.7588386312,41326.7588386089,1.0000000000
1,5.0000000000,0,6959321.8090911629,41321.8090911406,1.0000000000
1,5.0000000000,0,6959316.8593436945,41316.8593436722,1.0000000000
1,5.0000000000,0,6959311.9095962262,41311.9095962039,1.0000000000
1,5.0000000000,0,6959306.9598487578,41306.9598487355,1.0000000000
1,5.0000000000,0,6959302.0101012895,41302.0101012672,1.0000000000
1,5.0000000000,0,6959297.0603538211,41297.0603537989,1.0000000000
1,5.0000000000,0,6959292.1106063528,41292.1106063305,1.0000000000
1,5.0000000000,0,6959287.1608588845,41287.1608588622,1.0000000000
1,5.0000000000,0,6959282.2111114161,41282.2111113939,1.0000000000
1,5.0000000000,0,6959277.2613639478,41277.2613639255,1.0000000000
1,5.0000000000,0,6959272.3116164794,41272.3116164572,1.0000000000
1,5.0000000000,0,6959267.3618690111,41267.3618689888,1.0000000000
1,5.0000000000,0,6959262.4121215427,41262.4121215205,1.0000000000
1,5.0000000000,0,6959257.4623740744,41257.4623740522,1.0000000000
1,5.0000000000,0,6959252.5126266060,41252.5126265838,1.0000000000
1,5.0000000000,0,6959247.5628791377,41247.5628791155,1.0000000000
1,5.0000000000,0,6959242.6131316693,41242.6131316471,1.0000000000
1,5.0000000000,0,6959237.6633842010,41237.6633841788,1.0000000000
1,5.0000000000,0,6959232.7136367327,41232.7136367104,1.0000000000
1,5.0000000000,0,6959227.7638892643,41227.7638892421,1.0000000000
1,5.0000000000,0,6959222.8141417960,41222.8141417737,1.0000000000
1,5.0000000000,0,6959217.8643943276,41217.8643943054,1.0000000000
1,5.0000000000,0,6959212.9146468593,41212.9146468371,1.0000000000
1,5.0000000000,0,6959207.9648993909,41207.9648993687,1.0000000000
1,5.0000000000,0,6959203.0151519226,41203.0151519004,1.0000000000
1,5.0000000000,0,6959198.0654044542,41198.0654044320,1.0000000000
1,5.0000000000,0,6959193.1156569859,41193.1156569637,1.0000000000
1,5.0000000000,0,6959188.1659095176,41188.1659094953,1.0000000000
1,5.0000000000,0,6959183.2161620492,41183.2161620270,1.0000000000
1,5.0000000000,0,6959178.2664145809,41178.2664145586,1.0000000000
1,5.0000000000,0,6959173.3166671125,41173.3166670903,1.0000000000
1,5.0000000000,0,6959168.3669196442,41168.3669196219,1.0000000000
1,5.0000000000,0,6959163.4171721758,41163.4171721536,1.0000000000
1,5.0000000000,0,6959158.4674247075,41158.4674246853,1.0000000000
1,5.0000000000,0,6959153.5176772391,41153.5176772169,1.0000000000
1,5.0000000000,0,6959148.5679297708,41148.5679297486,1.0000000000
1,5.0000000000,0,6959143.6181823025,41143.6181822802,1.0000000000
1,5.0000000000,0,6959138.6684348341,41138.6684348119,1.0000000000
1,5.0000000000,0,6959133.7186873658,41133.7186873435,1.0000000000
1,5.0000000000,0,6959128.7689398974,41128.7689398752,1.0000000000
1,5.0000000000,0,6959123.8191924291,41123.8191924068,1.0000000000
1,5.0000000000,0,6959118.8694449607,41118.8694449385,1.0000000000
1,5.0000000000,0,6959113.9196974924,41113.9196974702,1.0000000000
1,5.0000000000,0,6959108.9699500240,41108.9699500018,1.0000000000
1,5.0000000000,0,6959104.0202025557,41104.0202025335,1.0000000000
1,5.0000000000,0,6959099.0704550873,41099.0704550651,1.0000000000
1,5.0000000000,0,6959094.1207076190,41094.1207075968,1.0000000000
1,5.0000000000,0,6959089.1709601507,41089.1709601284,1.0000000000
1,5.0000000000,0,6959084.2212126823,41084.2212126601,1.0000000000
1,5.0000000000,0,6959079.2714652140,41079.2714651917,1.0000000000
1,5.0000000000,0,6959074.3217177456,41074.3217177234,1.0000000000
1,5.0000000000,0,6959069.3719702773,41069.3719702551,1.0000000000
1,5.0000000000,0,6959064.4222228089,41064.4222227867,1.0000000000
1,5.0000000000,0,6959059.4724753406,41059.4724753184,1.0000000000
1,5.0000000000,0,6959054.5227278722,41054.5227278500,1.0000000000
1,5.0000000000,0,6959049.5729804039,41049.5729803817,1.0000000000
1,5.0000000000,0,6959044.6232329356,41044.6232329133,1.0000000000
1,5.0000000000,0,6959039.6734854672,41039.6734854450,1.0000000000
1,5.0000000000,0,6959034.7237379989,41034.7237379766,1.0000000000
1,5.0000000000,0,6959029.7739905305,41029.7739905083,1.0000000000
1,5.0000000000,0,6959024.8242430622,41024.8242430399,1.0000000000
1,5.0000000000,0,6959019.8744955938,41019.8744955716,1.0000000000
1,5.0000000000,0,6959014.9247481255,41014.9247481033,1.0000000000
1,5.0000000000,0,6959009.9750006571,41009.9750006349,1.0000000000
1,5.0000000000,0,6959005.0252531888,41005.0252531666,1.0000000000
1,5.0000000000,0,6959000.0755057205,41000.0755056982,1.0000000000
1,5.0000000000,0,6958995.1257582521,40995.1257582299,1.0000000000
1,5.0000000000,0,6958990.1760107838,40990.1760107615,1.0000000000
1,5.0000000000,0,6958985.2262633154,40985.2262632932,1.0000000000
1,5.0000000000,0,6958980.2765158471,40980.2765158249,1.0000000000
1,5.0000000000,0,6958975.3267683787,40975.3267683565,1.0000000000
1,5.0000000000,0,6958970.3770209104,40970.3770208882,1.0000000000
1,5.0000000000,0,6958965.4272734420,40965.4272734198,1.0000000000
1,5.0000000000,0,6958960.4775259737,40960.4775259515,1.0000000000
1,5.0000000000,0,6958955.5277785053,40955.5277784831,1.0000000000
1,5.0000000000,0,6958950.5780310370,40950.5780310148,1.0000000000
1,5.0000000000,0,6958945.6282835687,40945.6282835464,1.0000000000
1,5.0000000000,0,6958940.6785361003,40940.6785360781,1.0000000000
1,5.0000000000,0,6958935.7287886320,40935.7287886098,1.0000000000
1,5.0000000000,0,6958930.7790411636,40930.7790411414,1.0000000000
1,5.0000000000,0,6958925.8292936953,40925.8292936731,1.0000000000
1,5.0000000000,0,6958920.8795462269,40920.8795462047,1.0000000000
1,5.0000000000,0,6958915.9297987586,40915.9297987364,1.0000000000
1,5.0000000000,0,6958910.9800512902,40910.9800512680,1.0000000000
1,5.0000000000,0,6958906.0303038219,40906.0303037997,1.0000000000
1,5.0000000000,0,6958901.0805563536,40901.0805563313,1.0000000000
1,5.0000000000,0,6958896.1308088852,40896.1308088630,1.0000000000
1,5.0000000000,0,6958891.1810614169,40891.1810613947,1.0000000000
1,5.0000000000,0,6958886.2313139485,40886.2313139263,1.0000000000
1,10.0000000000,0,6959453.0074141622,41452.0186055965,1.0000000000
1,10.0000000000,0,6959448.0030166563,41446.8270146117,1.0000000000
1,10.0000000000,0,6959442.8377528246,41441.7954481659,1.0000000000
1,10.0000000000,0,6959437.6752910521,41436.7610068076,1.0000000000
1,10.0000000000,0,6959432.5204287143,41431.7187845173,1.0000000000
1,10.0000000000,0,6959427.3724261522,41426.6695587384,1.0000000000
1,10.0000000000,0,6959422.2304530237,41421.6141929067,1.0000000000
1,10.0000000000,0,6959417.0937728612,41416.5534490627,1.0000000000
1,10.0000000000,0,6959411.9617382362,41411.4879942994,1.0000000000
